,Links,Price,Title,Adress,Scraping date,Offer number,Surface,Number of rooms,Market type,Building type,Floor,Number of floors in building,Windows type,Heating type,Construction year,Property condition,Monthly charges,Ownership
70,https://www.otodom.pl/pl/oferta/jasne-3-pokoje-na-woli-ID4dFkT,570 000 zł,Jasne 3 Pokoje na Woli !,"Warszawa, Wola, Ulrychów, Szulborska",2021-11-05,62362507,"57,90 m²",3,wtórny,blok,parter,4,n/a,miejskie,1970,do remontu,450 zł,spółdzielcze wł. z KW
71,https://www.otodom.pl/pl/oferta/jasne-2-pok-przy-ul-coppera-ID4dHQv,659 000 zł,Jasne 2 pok. przy ul. Coppera !,"Warszawa, Bemowo, Jelonki, gen. Meriana C. Coopera",2021-11-05,62372156,"47,12 m²",2,wtórny,apartamentowiec,2,3,n/a,miejskie,2009,do zamieszkania,600 zł,pełna własność
72,https://www.otodom.pl/pl/oferta/3-pokoje-63-m2-z-2019-ul-podborska-4-ID4dsFF,740 000 zł,"3 pokoje (63 m2) z 2019 ul. Podborska, 4","Warszawa, Włochy, Podborska",2021-11-05,62313823,63 m²,3,wtórny,n/a,1,3,n/a,miejskie,2019,do wykończenia,500 zł,pełna własność
73,https://www.otodom.pl/pl/oferta/3-pokoje-z-oddzielna-kuchnia-metro-natolin-ID4dyd0,680 000 zł,"3 pokoje z oddzielną kuchnią, Metro Natolin","Warszawa, Ursynów, Natolin, Meander",2021-11-05,62335110,63 m²,3,wtórny,blok,9,10,n/a,miejskie,1984,do remontu,820 zł,spółdzielcze własnościowe
74,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-duza-loggia-bialoleka-ID4dzHZ,410 000 zł,Dwupokojowe mieszkanie z dużą loggią Białołęka,"Warszawa, Białołęka",2021-11-05,62340875,43 m²,2,wtórny,n/a,2,2,n/a,miejskie,2003,do remontu,516 zł,pełna własność
75,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-50m-do-metra-na-pradze-ID4d17V,778 000 zł,Nowe mieszkanie 50m do metra na Pradze,"Warszawa, Praga-Północ, Strzelecka",2021-11-05,62207944,77 m²,2,wtórny,kamienica,5,5,n/a,miejskie,1920,do wykończenia,n/a,pełna własność
76,https://www.otodom.pl/pl/oferta/3-pokoje-wysoki-standard-zielona-okolica-ID4d64D,616 000 zł,"3 pokoje, wysoki standard, zielona okolica","Warszawa, Rembertów",2021-11-05,62226959,"64,81 m²",3,wtórny,blok,3,4,n/a,miejskie,1986,do zamieszkania,695 zł,pełna własność
77,https://www.otodom.pl/pl/oferta/do-sprzedania-3-pok-mieszkanie-na-mokotowie-ID4d7cK,685 000 zł,Do sprzedania 3 pok mieszkanie na Mokotowie,"Warszawa, Mokotów, Huculska",2021-11-05,62231306,"57,20 m²",3,wtórny,blok,2,8,n/a,miejskie,1975,do remontu,350 zł,pełna własność
78,https://www.otodom.pl/pl/oferta/ustawne-4-pokojowe-mieszkanie-na-bialolece-74-8m-ID4dsbj,690 000 zł,"Ustawne 4-pokojowe mieszkanie na Białołęce (74,8m)","Warszawa, Białołęka",2021-11-05,62311941,"74,80 m²",4,wtórny,n/a,3,3,n/a,miejskie,n/a,do zamieszkania,n/a,spółdzielcze wł. z KW
79,https://www.otodom.pl/pl/oferta/3-pokoje-na-13-pietrze-swietna-lokalizacja-ID4cXYq,849 000 zł,"3 pokoje na 13 piętrze, świetna lokalizacja","Warszawa, Wola",2021-11-05,62195822,"57,60 m²",3,wtórny,blok,> 10,15,n/a,miejskie,1972,do zamieszkania,650 zł,spółdzielcze własnościowe
80,https://www.otodom.pl/pl/oferta/cztery-kawalerki-na-piaskach-okazja-inwestycyjna-ID4cQpe,995 537 zł,Cztery kawalerki na Piaskach - okazja inwestycyjna,"Warszawa, Bielany, Jana Kochanowskiego",2021-11-05,62166732,"65,50 m²",4,wtórny,n/a,3,4,n/a,miejskie,1980,do zamieszkania,400 zł,spółdzielcze wł. z KW
81,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-3-pokoje-nowe-osiedle-ID4dNiL,670 000 zł,Gotowe do zamieszkania 3 pokoje. Nowe Osiedle!,"Warszawa, Białołęka, Ostródzka",2021-11-05,62393127,62 m²,3,wtórny,apartamentowiec,3,3,plastikowe,miejskie,2021,do zamieszkania,390 zł,pełna własność
82,https://www.otodom.pl/pl/oferta/bezposrednio-taras-20m2-3m-wysokosci-2-x-garaz-ID4dzQ5,1 999 000 zł,BEZPOŚREDNIO- TARAS 20m2- 3m wysokości - 2 x garaż,"Warszawa, Śródmieście, ul. Wolska",2021-11-05,62341377,109 m²,4,wtórny,apartamentowiec,> 10,13,drewniane,miejskie,2021,do zamieszkania,n/a,pełna własność
83,https://www.otodom.pl/pl/oferta/mieszkanie-do-sprzedania-3pokoje-ul-muszlowa-3-ID4duIM,660 000 zł,Mieszkanie do sprzedania 3pokoje ul.Muszlowa 3,"Warszawa, Bemowo, ul. Muszlowa",2021-11-05,62321704,"64,50 m²",3,wtórny,blok,parter,11,plastikowe,miejskie,1981,do zamieszkania,600 zł,pełna własność
84,https://www.otodom.pl/pl/oferta/ustawne-4-pokojowe-mieszkanie-na-bialolece-74-8m-ID4dsbj,690 000 zł,"Ustawne 4-pokojowe mieszkanie na Białołęce (74,8m)","Warszawa, Białołęka",2021-11-05,62311941,"74,80 m²",4,wtórny,n/a,3,3,n/a,miejskie,n/a,do zamieszkania,n/a,spółdzielcze wł. z KW
85,https://www.otodom.pl/pl/oferta/3-pokoje-na-13-pietrze-swietna-lokalizacja-ID4cXYq,849 000 zł,"3 pokoje na 13 piętrze, świetna lokalizacja","Warszawa, Wola",2021-11-05,62195822,"57,60 m²",3,wtórny,blok,> 10,15,n/a,miejskie,1972,do zamieszkania,650 zł,spółdzielcze własnościowe
